thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
10,2863070,0,15587,26,157,11,662,1323,14797,15905,2057,536158
11,2863070,3,14092,48,188,6,710,1420,14944,15205,1931,510636
0,3068285,0,16805,27,152,7,629,1257,15946,17448,2179,601446
1,3068285,0,15235,47,167,9,723,1445,14449,15759,2217,539727
2,3068285,0,14514,24,159,5,642,1283,15417,16991,2161,509031
3,3068285,0,16940,25,154,7,733,1465,18043,19715,2418,647463
4,3068285,0,14994,49,174,4,705,1410,15712,17103,2155,570181
5,3068285,0,14778,24,225,5,856,1711,17359,18816,2490,612555
6,3068285,0,18381,27,145,13,577,1154,15716,17061,2112,597161
7,3068285,0,16668,35,267,11,929,1858,16506,18092,2222,588621
8,3068285,0,17833,26,275,13,884,1768,17268,18607,2445,627489
9,3068285,0,16779,25,133,5,615,1229,17165,18944,2276,615912
10,3068285,0,18338,46,167,13,749,1498,17301,19183,2436,656201
11,3068285,0,17287,31,211,8,810,1619,18299,18955,2399,630838
0,3273378,0,19332,29,170,7,708,1415,18606,20244,2560,689087
1,3273378,0,18569,156,176,12,801,1601,17548,19362,2679,642768
2,3273378,2,18714,28,173,6,735,1470,18624,20125,2603,617167
3,3273378,5,18776,29,176,7,859,1718,20792,23104,2850,757981
4,3273378,0,18358,24,198,8,816,1632,18477,20796,2563,707027
5,3273378,0,18080,31,244,8,955,1909,20463,22010,2868,722726
6,3273378,49,21251,25,172,13,693,1386,18661,20516,2533,701545
7,3273378,0,19543,50,287,11,1030,2060,19595,21571,2679,701781
8,3273378,0,20636,27,285,15,972,1943,20196,21879,2924,739902
9,3273378,3,19260,51,144,5,693,1386,20103,22498,2700,729781
10,3273378,0,20406,37,190,14,848,1696,19779,22222,2809,758515
11,3273378,1,20057,45,253,9,932,1864,20704,22177,2749,738205
0,3475139,77,22791,27,183,8,801,1602,21916,23833,3038,797136
1,3475139,49,20786,29,199,12,915,1830,20427,22680,3145,744241
2,3475139,0,21621,61,195,7,846,1691,21287,23191,3034,710560
3,3475139,3,21637,35,196,10,976,1952,23109,26179,3287,854186
4,3475139,23,20728,26,219,11,937,1874,21767,24828,3109,829569
5,3475139,2,20779,51,264,10,1066,2132,23194,25381,3308,831273
6,3475139,16,24306,45,291,13,961,1922,21944,24360,3145,823735
7,3475139,50,22627,163,325,16,1181,2362,22028,24516,3116,818651
8,3475139,24,23624,62,300,16,1087,2174,22860,25126,3425,842632
